id	ATC	Laboratorio	Forma	Nombre local	País	generic_name	Vía	commercial_name	presentation
12	N01BB20 P1	['SCOTT PHARMA S.A.']	['crema']	LIDOPRIL 2,5 g/2,5 g/100 g Crema	['Argentina']	Prilocaína + lidocaína	['vía tópica']	LIDOPRIL	2,5 g/2,5 g/100 g Crema
13	J01CA04	['SAVANT PHARM S.A.']	['comprimido recubierto']	FABAMOX 500 mg Comp. recub.	['Argentina']	Amoxicilina	['oral']	FABAMOX	500 mg Comp. recub.
14	P02CF01	['LABORATORIO ELEA PHOENIX S.A.']	['comprimido']	IVER P 6 mg Comp.	['Argentina']	Ivermectina	['oral']	IVER P	6 mg Comp.
15	D07AC01	['KLONAL S.R.L.']	['crema']	BETASONE G 0,1 g/100 g Crema	['Argentina']	Betametasona tópica	['cutáneo']	BETASONE G	0,1 g/100 g Crema
16	J01CA04	['SANT GALL FRIBURG Q.C.I.S.R.L.']	['polvo para suspensión oral']	AMOXICILINA SANT GALL 500 mg/5 ml Polvo para susp. oral	['Argentina']	Amoxicilina	['oral']	AMOXICILINA SANT GALL	500 mg/5 ml Polvo para susp. oral
17	J01GB06	['VEINFAR S.A.I.C.']	['solución inyectable']	AMIKACINA LARJAN 500 mg/2 ml Sol. iny.	['Argentina']	Amikacina	['intramuscular']	AMIKACINA LARJAN	500 mg/2 ml Sol. iny.
18	A02BC06	['ROEMMERS S.A.I.C.F.']	['cápsula dura de liberación prolongada']	DEXOPRAL 30 mg Cáps. LP	['Argentina']	Dexlansoprazol	['oral']	DEXOPRAL	30 mg Cáps. LP
19	C09CA03	['LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP. LTDA.']	['comprimido recubierto']	VALSARFEC 80 mg Comp. recub.	['Argentina']	Valsartán	['oral']	VALSARFEC	80 mg Comp. recub.
20	R06AX13	['ROSPAW S.R.L.']	['comprimido']	LORATADINA ROSPAW 10 mg Comp.	['Argentina']	Loratadina	['oral']	LORATADINA ROSPAW	10 mg Comp.
21	N06DX01	['BALIARDA S.A.']	['comprimido de liberación prolongada']	NEUROPLUS XR 28 28 mg Comp. recub. LP	['Argentina']	Memantina	['oral']	NEUROPLUS XR	28 28 mg Comp. recub. LP
22	L01AX03	['LABORATORIO LKM S.A.']	['cápsula dura']	TOCITRAP 100 mg Cáps. dura	['Argentina']	Temozolomida	['oral']	TOCITRAP	100 mg Cáps. dura
23	L01EK01	['LABORATORIO ECZANE PHARMA S.A.']	['comprimido recubierto']	ALUXANTIB 1 mg Comp. recub.	['Argentina']	Axitinib	['oral']	ALUXANTIB	1 mg Comp. recub.
24	C10AA07	['QUIMICA MONTPELLIER S.A.']	['comprimido recubierto']	ROSUSTATIN 5 5 mg Comp. recub.	['Argentina']	Rosuvastatina	['oral']	ROSUSTATIN	5 5 mg Comp. recub.
25	C09CA01	['LABORATORIO AUSTRAL S.A.']	['comprimido recubierto']	PRISONIL 100 mg Comp. recub.	['Argentina']	Losartán	['oral']	PRISONIL	100 mg Comp. recub.
26	M05BA06	['LABORATORIO ELEA PHOENIX S.A.']	['solución inyectable en jeringa precargada']	FEMOREL I.V. 3 mg/3 ml Sol. iny. en jeringa precargada	['Argentina']	Ibandrónico ácido	['intravenosa']	FEMOREL I.V.	3 mg/3 ml Sol. iny. en jeringa precargada
27	C07AG01	['LAFEDAR S.A.']	['solución inyectable']	BLOCAMINE 5 mg/1 ml Sol. iny.	['Argentina']	Labetalol	['intravenosa']	BLOCAMINE	5 mg/1 ml Sol. iny.
28	A07EC02	['LABORATORIO DOMINGUEZ S.A.']	['comprimido gastrorresistente']	5-ASA 500 mg Comp. gastrorr.	['Argentina']	Mesalazina	['oral']		5-ASA 500 mg Comp. gastrorr.
29	N05BA06	['LABORATORIOS DUNCAN S.A.']	['comprimido']	TRATENAMIN 2 mg Comp.	['Argentina']	Lorazepam	['oral']	TRATENAMIN	2 mg Comp.
30	L01EA02	['BRISTOL MYERS SQUIBB ARGENTINA S.R.L.']	['comprimido recubierto']	SPRYCEL 100 mg Comp. recub.	['Argentina']	Dasatinib	['oral']	SPRYCEL	100 mg Comp. recub.
31	B01AA07	['MICROSULES ARGENTINA S A DE SERVICIOS COM IND INMB AGROPECUARIA']	['comprimido']	FORTONOL 1 mg Comp.	['Argentina']	Acenocumarol	['oral']	FORTONOL	1 mg Comp.
32	N03AX09	['LABORATORIOS BETA S.A.']	['comprimido dispersable']	LAGOTRAN 25 mg Comp. dispersable	['Argentina']	Lamotrigina	['oral']	LAGOTRAN	25 mg Comp. dispersable
33	L01BA01	['TRB PHARMA S.A.']	['comprimido']	ARTRAIT 15 mg Comp.	['Argentina']	Metotrexato, antineoplásico	['oral']	ARTRAIT	15 mg Comp.
34	L01EX09	['BOEHRINGER INGELHEIM S.A.']	['cápsula blanda']	OFEV 150 mg Cáps. blanda	['Argentina']	Nintedanib	['oral']	OFEV	150 mg Cáps. blanda
35	N05AH04	['LABORATORIOS CASASCO S.A.I.C.']	['comprimido recubierto']	ROSTRUM 100 mg Comp. recub.	['Argentina']	Quetiapina	['oral']	ROSTRUM	100 mg Comp. recub.
36	B05XA03	['VEINFAR S.A.I.C.']	['concentrado para solución inyectable']	SOLUCION DE CLORURO DE SODIO LARJAN 20 g/100 ml Concentr. para sol. iny.	['Argentina']	Cloruro sódico, aditivos para sol. IV	['intravenosa']	SOLUCION DE CLORURO DE SODIO LARJAN	20 g/100 ml Concentr. para sol. iny.
37	M01AH05	['LABORATORIOS BAGO S.A.']	['cápsula blanda']	FLOGOCOX 90 mg Cáps. blanda	['Argentina']	Etoricoxib	['oral']	FLOGOCOX	90 mg Cáps. blanda
38	B01AC09	['JANSSEN CILAG FARMACEUTICA S.A.']	['polvo para solución inyectable']	VELETRI 1,5 mg Polvo para sol. iny.	['Argentina']	Epoprostenol	['intravenosa']	VELETRI	1,5 mg Polvo para sol. iny.
39	J02AC01	['BALIARDA S.A.']	['comprimido']	FLUCOGINKAN 150 mg Comp.	['Argentina']	Fluconazol	['oral']	FLUCOGINKAN	150 mg Comp.
40	C10BA05	['LABORATORIOS CASASCO S.A.I.C.']	['comprimido recubierto + comprimido recubierto']	AMPLIAR DUO 10 10 mg/10 mg Comp. recub. + comp. recub.	['Argentina']	Atorvastatina y ezetimiba	['oral']	AMPLIAR DUO	10 10 mg/10 mg Comp. recub. + comp. recub.
41	R01BA52 P4	['QUIMICA MONTPELLIER S.A.']	['comprimido recubierto']	ALERPRIV D 5 mg/120 mg Comp. recub.	['Argentina']	Pseudoefedrina + loratadina	['oral']	ALERPRIV D	5 mg/120 mg Comp. recub.
42	J01XA01	['LABORATORIOS RICHET S.A.']	['polvo para concentrado para solución para perfusión']	VANCOMICINA RICHET 1000 mg Polvo para concentr. para sol. para infus.	['Argentina']	Vancomicina	['intravenosa']	VANCOMICINA RICHET	1000 mg Polvo para concentr. para sol. para infus.
43	A06AX04	['ROEMMERS S.A.I.C.F.']	['cápsula']	MOTRAX 290 mcg Cáps.	['Argentina']	Linaclotida	['oral']	MOTRAX	290 mcg Cáps.
44	A07BB	['INMUNOLAB S.A.']	['suspensión oral']	CREMA DE BISMUTO ILAB 3 g/750 mg/100 ml Susp. oral	['Argentina']	Preparados de bismuto	['oral']		CREMA DE BISMUTO ILAB 3 g/750 mg/100 ml Susp. oral
45	N06BC01	['LABORATORIOS DUNCAN S.A.']	['solución inyectable']	CAFEINA BIOQUIM 250 mg/1 ml Sol. iny.	['Argentina']	Cafeína	['intramuscular']	CAFEINA BIOQUIM	250 mg/1 ml Sol. iny.
46	R06AE09	['PANALAB S.A. ARGENTINA']	['comprimido recubierto']	SUPRALER FORTE 10 mg Comp. recub.	['Argentina']	Levocetirizina	['oral']	SUPRALER FORTE	10 mg Comp. recub.
47	R02AB P4	['GENOMMA LABORATORIES ARGENTINA S.A.']	['comprimido para chupar']	TUKOL BUC 5 mg + 1 mg Caramelo	['Argentina']	Tirotricina + benzocaína	['oral']	TUKOL BUC	5 mg + 1 mg Caramelo
48	D11AX01	['FINADIET S.A.I.C.F.E.I.']	['loción capilar']	SUPERMINOX 2 g/100 ml Loción capilar	['Argentina']	Minoxidil tópico	['cutáneo']	SUPERMINOX	2 g/100 ml Loción capilar
49	A04AA01	['LAFEDAR S.A.']	['comprimido']	DASENTRON 8 mg Comp.	['Argentina']	Ondansetrón	['oral']	DASENTRON	8 mg Comp.
50	N01BB01	['NORGREEN S.A.']	['solución inyectable']	BUPIVACAINA CLORHIDRATO NORGREEN 0,5 g/100 ml Sol. iny.	['Argentina']	Bupivacaína	['intramuscular']	BUPIVACAINA CLORHIDRATO NORGREEN	0,5 g/100 ml Sol. iny.
51	J01CR02 P2	['LABORATORIOS BAGO S.A.']	['polvo para suspensión oral']	TRIFAMOX IBL DUO 20 g/5 g/100 ml Polvo para susp. oral	['Argentina']	Amoxicilina + sulbactam	['oral']	TRIFAMOX IBL DUO	20 g/5 g/100 ml Polvo para susp. oral
52	C10AA07	['BALIARDA S.A.']	['comprimido recubierto']	REOVEX 20 mg Comp. recub.	['Argentina']	Rosuvastatina	['oral']	REOVEX	20 mg Comp. recub.
53	N03AE01	['LABORATORIOS BETA S.A.']	['comprimido']	CLONAX 0,5 mg Comp.	['Argentina']	Clonazepam	['oral']	CLONAX	0,5 mg Comp.
54	L01CD02	['ERIOCHEM S.A.']	['concentrado y disolvente para solución para perfusión']	ERIOX 20 mg/0,5 ml Concentr. y disolv. para sol. para perfus.	['Argentina']	Docetaxel	['intravenosa']	ERIOX	20 mg/0,5 ml Concentr. y disolv. para sol. para perfus.
55	L02BX03	['LABORATORIOS IMA S.A.I.C.']	['comprimido']	TYGARONA 250 mg Comp.	['Argentina']	Abiraterona	['oral']	TYGARONA	250 mg Comp.
56	S01CA05	['LABORATORIOS POEN S.A.U.']	['gel oftálmico']	ANTIFLOGOL 2 mg/5 mg/1,25 mg/1 g Gel oftálmico	['Argentina']	Betametasona y antiinfecciosos oftálmicos	['oftálmica']	ANTIFLOGOL	2 mg/5 mg/1,25 mg/1 g Gel oftálmico
57	J04AB04	['LABORATORIOS RICHMOND S.A.C.I.F.']	['cápsula']	TAMBUX 150 mg Cáps.	['Argentina']	Rifabutina	['oral']	TAMBUX	150 mg Cáps.
58	J01FA10	['LABORATORIOS FABRA S.A.']	['comprimido recubierto']	FABRAMICINA 500 mg Comp. recub.	['Argentina']	Azitromicina	['oral']	FABRAMICINA	500 mg Comp. recub.
59	A10BD02 P2	['QUIMICA MONTPELLIER S.A.']	['comprimido recubierto']	DBI DUO 500 mg/5 mg Comp. recub.	['Argentina']	Metformina + glibenclamida	['oral']	DBI DUO	500 mg/5 mg Comp. recub.
60	L01BA04	['GLENMARK GENERICS S.A.']	['liofilizado para solución inyectable']	PEMETREXED GLENMARK 100 mg Polvo liof. para sol. iny.	['Argentina']	Pemetrexed	['intravenosa']	PEMETREXED GLENMARK	100 mg Polvo liof. para sol. iny.
61	R01AX06	['FORTBENTON CO. LABORATORIES S.A.']	['pomada nasal']	MUPIROX 2 g/100 g Ung. nasal	['Argentina']	Mupirocina nasal	['nasal']	MUPIROX	2 g/100 g Ung. nasal
62	D03AX	['GENOMMA LABORATORIES ARGENTINA S.A.']	['pomada']	SEROCUTINA Pom.	['Argentina']	Otros cicatrizantes	['cutáneo']	SEROCUTINA	Pom.
63	H01AC01	['NOVO NORDISK PHARMA ARGENTINA S.A.']	['solución inyectable en pluma precargada']	NORDITROPIN FLEXPRO 15 mg/1,5 ml Sol. iny. en pluma precargada	['Argentina']	Somatropina	['subcutánea']	NORDITROPIN FLEXPRO	15 mg/1,5 ml Sol. iny. en pluma precargada
64	A03FA03	['LAFEDAR S.A.']	['solución inyectable']	PERIDON 10 mg/5 ml Sol. iny.	['Argentina']	Domperidona	['intramuscular']	PERIDON	10 mg/5 ml Sol. iny.
65	D04AX	['LABORATORIOS SZAMA S.A.']	['loción']	PIRACALAMINA Loción tópica	['Argentina']	Otros antipruriginosos	['cutáneo']	PIRACALAMINA	Loción tópica
66	M01AB55 P4	['LABORATORIOS CASASCO S.A.I.C.']	['comprimido recubierto']	BLOKIUM FLEX 50 mg/4 mg Comp. recub.	['Argentina']	Diclofenaco + pridinol	['oral']	BLOKIUM FLEX	50 mg/4 mg Comp. recub.
67	D11AX01	['OXAPHARMA S.A.']	['solución capilar']	IVIX 2 g/100 ml Sol. capilar	['Argentina']	Minoxidil tópico	['vía tópica']	IVIX	2 g/100 ml Sol. capilar
68	A10BD19	['BOEHRINGER INGELHEIM S.A.']	['comprimido recubierto']	GLYXAMBI 10 mg/5 mg Comp. recub.	['Argentina']	Linagliptina y empagliflozina	['oral']	GLYXAMBI	10 mg/5 mg Comp. recub.
69	L01CD01	['LABORATORIO KEMEX S.A.']	['concentrado para solución para perfusión']	PACLITAXEL KEMEX 300 mg Concentr. para sol. para infus.	['Argentina']	Paclitaxel	['intravenosa']	PACLITAXEL KEMEX	300 mg Concentr. para sol. para infus.
70	S01XA18	['LABORATORIO ELEA PHOENIX S.A.']	['solución oftálmica']	INMUNOSPORIN 0,1 g/100 ml Sol. oftálmica	['Argentina']	Ciclosporina oftálmica	['oftálmica']	INMUNOSPORIN	0,1 g/100 ml Sol. oftálmica
71	C09DB01	['MONTE VERDE S.A.']	['comprimido']	NOSTER 5/160 5 mg/160 mg Comp.	['Argentina']	Valsartán y amlodipino	['oral']	NOSTER	5/160 5 mg/160 mg Comp.
72	N05AH03	['ELI LILLY INTERAMERICA INC. SUCURSAL ARGENTINA']	['comprimido recubierto']	MIDAX 2,5 mg Comp. recub.	['Argentina']	Olanzapina	['oral']	MIDAX	2,5 mg Comp. recub.
73	J01DB03	['DRAWER S.A.']	['polvo para solución inyectable']	CEFALOTINA DRAWER 1 g Polvo para sol. iny.	['Argentina']	Cefalotina	['intramuscular']	CEFALOTINA DRAWER	1 g Polvo para sol. iny.
74	L04AX04	['IVAX ARGENTINA S.A.']	['cápsula dura']	HEMALEN 10 mg Cáps. dura	['Argentina']	Lenalidomida	['oral']	HEMALEN	10 mg Cáps. dura
75	J01DE01	['KLONAL S.R.L.']	['polvo para solución inyectable']	CEFIMEN K 1 g Polvo para sol. iny.	['Argentina']	Cefepima	['intramuscular']	CEFIMEN K	1 g Polvo para sol. iny.
76	N02BE01	['INSTITUTO SEROTERAPICO ARGENTINO S.A.I.C.']	['comprimido']	PARACETAMOL ISA 500 mg Comp.	['Argentina']	Paracetamol	['oral']	PARACETAMOL ISA	500 mg Comp.
77	G04BD08	['SIDUS S.A.']	['comprimido recubierto']	SOLFACINA 5 mg Comp. recub.	['Argentina']	Solifenacina	['oral']	SOLFACINA	5 mg Comp. recub.
78	J01CR02 P2	['LABORATORIOS BAGO S.A.']	['comprimido recubierto']	TRIFAMOX IBL DUO 875 mg/125 mg Comp. recub.	['Argentina']	Amoxicilina + sulbactam	['oral']	TRIFAMOX IBL DUO	875 mg/125 mg Comp. recub.
79	A02BA53 P1	['SAVANT PHARM S.A.']	['comprimido masticable']	LYNCIS 800 mg/10 mg/165 mg Comp. masticable	['Argentina']	Calcio carbonato + famotidina + magnesio hidróxido	['oral']	LYNCIS	800 mg/10 mg/165 mg Comp. masticable
80	C09BA02 P1	['ORGANON ARGENTINA S.R.L.']	['comprimido']	CO-RENITEC 20 mg/12,5 mg Comp.	['Argentina']	Enalapril + hidroclorotiazida	['oral']	CO-RENITEC	20 mg/12,5 mg Comp.
81	L01CD02	['LABORATORIOS RICHMOND S.A.C.I.F.']	['concentrado y disolvente para solución para perfusión']	DOXETAL 20 mg/0,5 ml Concentr. y disolv. para sol. para perfus.	['Argentina']	Docetaxel	['intravenosa']	DOXETAL	20 mg/0,5 ml Concentr. y disolv. para sol. para perfus.
82	N03AF01	['IVAX ARGENTINA S.A.']	['comprimido recubierto']	CONFORMAL 200 mg Comp. recub.	['Argentina']	Carbamazepina	['oral']	CONFORMAL	200 mg Comp. recub.
83	G02CX	['MEGALABS ARGENTINA S.A.U']	['comprimido recubierto']	TANVIMIL ISOFLAVONAS DUO 100 mg/100 mg Comp. recub.	['Argentina']	Otros ginecológicos	['oral']	TANVIMIL ISOFLAVONAS DUO	100 mg/100 mg Comp. recub.
84	C09AA03	['IVAX ARGENTINA S.A.']	['comprimido']	TENSOPRIL 20 mg Comp.	['Argentina']	Lisinopril	['oral']	TENSOPRIL	20 mg Comp.
85	L04AX05	['LABORATORIOS BAGO S.A.']	['cápsula dura']	PERFORMA 267 mg Cáps. dura	['Argentina']	Pirfenidona	['oral']	PERFORMA	267 mg Cáps. dura
86	L01CE02	['LABORATORIOS ASPEN S.A.']	['solución inyectable']	KEBIRTECAN 20 mg/1 ml Sol. iny.	['Argentina']	Irinotecán	['intravenosa']	KEBIRTECAN	20 mg/1 ml Sol. iny.
87	S01XA20	['MAX VISION S.R.L.']	['colirio']	LUSIC 10 mg/10 mg/1 ml Colirio	['Argentina']	Lágrimas artificiales y otros preparados inertes	['oftálmica']	LUSIC	10 mg/10 mg/1 ml Colirio
88	N02AF02	['LABORATORIO INTERNACIONAL ARGENTINO S.A.']	['solución inyectable']	ONFOR 10 mg/1 ml Sol. iny.	['Argentina']	Nalbufina	['intramuscular']	ONFOR	10 mg/1 ml Sol. iny.
89	N02AX02	['INSTITUTO BIOLOGICO CONTEMPORANEO S.A.']	['solución inyectable']	TRAMADOL PHARMAVIAL 100 mg/2 ml Sol. iny.	['Argentina']	Tramadol	['intramuscular']	TRAMADOL PHARMAVIAL	100 mg/2 ml Sol. iny.
90	G02BB M2	['CASA RUBIO S.A.']	['óvulo']	NONOXINOL OMEGA 0,168 g Óvulo	['Argentina']	Nonoxinol	['vaginal']	NONOXINOL OMEGA	0,168 g Óvulo
91	S01BA01	['ABBVIE S.A.']	['implante intravítreo']	OZURDEX 0,7 mg Implante intravítreo	['Argentina']	Dexametasona oftálmica	['oftálmica']	OZURDEX	0,7 mg Implante intravítreo
92	D08AG02	['LABORATORIO ELEA PHOENIX S.A.']	['jabón líquido']	PERVINOX 5 g/100 ml Jabón líquido	['Argentina']	Povidona iodada tópica	['vía tópica']	PERVINOX	5 g/100 ml Jabón líquido
93	A16AB03	['TAKEDA ARGENTINA SOCIEDAD ANONIMA']	['concentrado para solución para perfusión']	REPLAGAL 1 mg/1 ml Concentr. para sol. para perfus.	['Argentina']	Agalsidasa alfa	['intravenosa']	REPLAGAL	1 mg/1 ml Concentr. para sol. para perfus.
94	N01BB58 P1	['SIDUS S.A.']	['solución inyectable']	ANESCART FORTE 40 mg/0,0182 mg/1 ml Sol. iny.	['Argentina']	Articaína + epinefrina	['intramuscular']	ANESCART FORTE	40 mg/0,0182 mg/1 ml Sol. iny.
95	N02BE01	['LABORATORIO PABLO CASSARA S.R.L.']	['granulado en sobre']	APRACUR ANTIFEBRIL 500 mg/1 sobre	['Argentina']	Paracetamol	['oral']	APRACUR ANTIFEBRIL	500 mg/1 sobre
96	C08CA01	['LABORATORIO VANNIER S.A.']	['comprimido']	AMLODIPINA VANNIER 5 5 mg Comp.	['Argentina']	Amlodipino	['oral']	AMLODIPINA VANNIER	5 5 mg Comp.
97	J02AC02	['LABORATORIO PABLO CASSARA S.R.L.']	['cápsula']	ITRAC 100 100 mg Cáps.	['Argentina']	Itraconazol	['oral']	ITRAC	100 100 mg Cáps.
98	L01FX14	['PRODUCTOS ROCHE S.A. QUIMICA E INDUSTRIAL']		POLIVY 140 mg Polvo para concentr. para sol. para infus.	['Argentina']	Polatuzumab vedotina		POLIVY	140 mg Polvo para concentr. para sol. para infus.
99	J01DB01	['LABORATORIOS RICHET S.A.']	['comprimido recubierto']	CEFALEXINA RICHET 1000 mg Comp. recub.	['Argentina']	Cefalexina	['oral']	CEFALEXINA RICHET	1000 mg Comp. recub.
100	C09CA07	['LABORATORIOS RICHMOND S.A.C.I.F.']	['comprimido']	TELCARDIA 40 mg Comp.	['Argentina']	Telmisartán	['oral']	TELCARDIA	40 mg Comp.
101	V03AE01 M1	['LABORATORIO DOMINGUEZ S.A.']	['polvo para suspensión oral y rectal']	R.I.C. CALCIO 99 g/100 g Polvo para susp. oral y rectal	['Argentina']	Poliestireno sulfonato cálcico	['oral']	R.I.C. CALCIO	99 g/100 g Polvo para susp. oral y rectal
102	L01FG01	['PFIZER S.R.L.']	['concentrado para solución para perfusión']	ZIRABEV 400 mg/16 ml Concentr. para sol. para infus.	['Argentina']	Bevacizumab, antineoplásico	['intravenosa']	ZIRABEV	400 mg/16 ml Concentr. para sol. para infus.
103	P02CA03	['LABORATORIO ELEA PHOENIX S.A.']	['comprimido']	NEMATEL 400 mg Comp.	['Argentina']	Albendazol	['oral']	NEMATEL	400 mg Comp.
104	J01XB01	['TECHSPHERE DE ARGENTINA S.A.']	['polvo para solución inyectable']	ESPIROTECH 100 mg Polvo para sol. iny.	['Argentina']	Colistina	['intramuscular']	ESPIROTECH	100 mg Polvo para sol. iny.
105	Rh) inmunoglobulina	['CSL BEHRING S.A.']	['solución inyectable en jeringa precargada']	RHOPHYLAC 300 300 mcg/2 ml Sol. iny. en jeringa precargada	['Argentina']	Anti-D	['intravenosa']	RHOPHYLAC	300 300 mcg/2 ml Sol. iny. en jeringa precargada
106	J01CA04	['LABORATORIOS RICHET S.A.']	['comprimido recubierto']	AMOXICILINA RICHET 500 mg Comp. recub.	['Argentina']	Amoxicilina	['oral']	AMOXICILINA RICHET	500 mg Comp. recub.
107	A10BD07	['LABORATORIOS CASASCO S.A.I.C.']	['comprimido de liberación prolongada']	SOTIL MET XR 1000 mg + 50 mg Comp. recub. LP	['Argentina']	Metformina y sitagliptina	['oral']	SOTIL MET XR	1000 mg + 50 mg Comp. recub. LP
108	J01MA12	['SIEGFRIED S.A.']	['comprimido recubierto']	ANUAR 500 mg Comp. recub.	['Argentina']	Levofloxacino	['oral']	ANUAR	500 mg Comp. recub.
109	A10BA02	['FRANCELAB S.A.']	['comprimido recubierto']	DIAB DOS 500 mg Comp. recub.	['Argentina']	Metformina	['oral']	DIAB DOS	500 mg Comp. recub.
110	N06AX21	['GADOR S.A.']	['cápsula gastrorresistente']	DUXETIN 60 mg Cáps. gastrorr.	['Argentina']	Duloxetina	['oral']	DUXETIN	60 mg Cáps. gastrorr.
111	C10AX16	['NOVARTIS ARGENTINA S.A.']	['solución inyectable']	SYBRAVA 284 mg/1,5 ml Sol. iny.	['Argentina']	Inclisiran	['subcutánea']	SYBRAVA	284 mg/1,5 ml Sol. iny.
112	diferentes sales en asociación	['LABORATORIOS TEMIS LOSTALO S.A.']	['comprimido efervescente']	TOTAL MAGNESIANO Comp. efervescente	['Argentina']	Magnesio	['oral']	TOTAL MAGNESIANO	Comp. efervescente
113	J01FF01	['INSTITUTO BIOLOGICO ARGENTINO S.A.I.C.']	['solución inyectable']	CLINDAMICINA BIOL 600 mg/4 ml Sol. iny.	['Argentina']	Clindamicina	['intramuscular']	CLINDAMICINA BIOL	600 mg/4 ml Sol. iny.
114	J01XA01	['KLONAL S.R.L.']	['polvo para concentrado para solución para perfusión']	VANCOMAX 1000 mg Polvo para concentr. para sol. para infus.	['Argentina']	Vancomicina	['intravenosa']	VANCOMAX	1000 mg Polvo para concentr. para sol. para infus.
115	J01CE02	['SIEGFRIED S.A.']	['jarabe']	GRAMPENIL 6000000 UI/100 ml Jarabe	['Argentina']	Fenoximetilpenicilina	['oral']	GRAMPENIL	6000000 UI/100 ml Jarabe
116	N02BE51 P42	['LABORATORIOS CASASCO S.A.I.C.']	['comprimido recubierto']	BLOKIUM GESIC FORTE 50 mg/500 mg Comp. recub.	['Argentina']	Paracetamol + diclofenaco	['oral']	BLOKIUM GESIC FORTE	50 mg/500 mg Comp. recub.
117	A07BA01	['LABORATORIO ECZANE PHARMA S.A.']	['comprimido']	CARBON ACTIVADO ECZANE 250 250 mg Comp.	['Argentina']	Carbón medicinal	['oral']	CARBON ACTIVADO ECZANE	250 250 mg Comp.
118	S01AE06	['ABBVIE S.A.']	['solución oftálmica']	ZYMAXID 5 mg/1 ml Sol. oftálmica	['Argentina']	Gatifloxacino oftálmico	['oftálmica']	ZYMAXID	5 mg/1 ml Sol. oftálmica
119	A11AA04	['LABORATORIOS POEN S.A.U.']	['cápsula dura']	DIARIS CÁPSULA DURA	['Argentina']	Multivitaminas y oligoelementos	['oral']	DIARIS CÁPSULA	DURA
120	D10AD03	['PANALAB S.A. ARGENTINA']	['gel cutáneo']	PANALENE 0,3 g/100 g Gel dérmico	['Argentina']	Adapaleno	['vía tópica']	PANALENE	0,3 g/100 g Gel dérmico
121	B02AB02	['TUTEUR S.A.C.I.F.I.A.']	['solución inyectable para perfusión']	GLASSIA 20 mg/1 ml Sol. iny. para perfus.	['Argentina']	Alfa 1 antitripsina, antihemorrágico	['intravenosa']	GLASSIA	20 mg/1 ml Sol. iny. para perfus.
122	L03AB05	['BIOSIDUS S.A.']	['polvo y disolvente para solución inyectable']	BIOFERON 3 M 3 MUI Polvo y disolv. para sol. iny.	['Argentina']	Interferón alfa-2b	['intramuscular']	BIOFERON	3 M 3 MUI Polvo y disolv. para sol. iny.
123	N04BC05	['BOEHRINGER INGELHEIM S.A.']	['comprimido']	SIFROL 0,25 mg Comp.	['Argentina']	Pramipexol	['oral']	SIFROL	0,25 mg Comp.
